url,title,currency,realised_price,high_estimate,low_estimate,auction_url,details,ref
https://onlineonly.christies.com/sso?ObjectID=20933.3&LotNumber=3,"VACHERON CONSTANTIN, YELLOW GOLD ONE-MINUTE TOURBILLON AND POWER RESERVE, NO. 10/100, REF. 30050",CHF,"30,000","35,000","25,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,30050
https://onlineonly.christies.com/sso?ObjectID=20933.4&LotNumber=4,"HENRY CAPT, PLATINUM LADY'S MINUTE REPEATING",CHF,"21,250",900,600,https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.17&LotNumber=17,"ILBERY. YELLOW GOLD, ENAMEL AND DIAMOND-SET OPENFACE POCKET WATCH, NO. 5486",CHF,"32,500","35,000","25,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.7&LotNumber=7,"HENRY CAPT, YELLOW GOLD ONE-MINUTE TOURBILLON HUNTER-CASE POCKET WATCH, NO. 10871",CHF,"27,500","100,000","60,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.8&LotNumber=8,"ALBERT PELLATON, YELLOW GOLD ONE-MINUTE TOURBILLON HUNTER-CASE POCKET WATCH",CHF,"56,250","60,000","40,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.9&LotNumber=9,"GIRARD PERREGAUX, YELLOW GOLD ONE-MINUTE TOURBILLON HUNTER-CASE POCKET WATCH",CHF,"25,000","60,000","40,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.10&LotNumber=10,"HENRY CAPT, YELLOW GOLD PERPETUAL CALENDAR AND MOON PHASES HUNTER-CASE POCKET WATCH",CHF,"6,250","50,000","30,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.11&LotNumber=11,"HENRY CAPT, YELLOW GOLD MINUTE REPEATING, PERPETUAL CALENDAR AND CHRONOGRAPH HUNTER-CASE POCKET WATCH, NO. 77836",CHF,"18,750","50,000","30,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.12&LotNumber=12,"ATTRIBUTED TO HENRI CAPT, YELLOW GOLD AND PAINTED ON ENAMEL QUARTER-REPEATING MUSICAL AUTOMATON OPENFACE POCKET WATCH",CHF,"52,500","50,000","30,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.13&LotNumber=13,"GIRARD-PERREGAUX, YELLOW GOLD ONE-MINUTE TOURBILLON HUNTER-CASE POCKET WATCH",CHF,"68,750","50,000","30,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
https://onlineonly.christies.com/sso?ObjectID=20933.14&LotNumber=14,"GIRARD-PERREGAUX, PINK GOLD ONE-MINUTE TOURBILLON HUNTER-CASE POCKET WATCH",CHF,"27,500","50,000","30,000",https://onlineonly.christies.com/s/watches-online-geneva-edit-important-private-collection/2109,,
